year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2
2009,2952.5196100000003,2,2,1,4,5,1
2009,2627.0891699999997,1,1,2,1,8,2
2009,2312.90738,2,1,2,1,1,1
2009,3121.83144,2,1,2,1,6,2
2009,3568.09084,1,1,2,1,7,4
2009,4193.24976,2,1,2,1,5,1
2009,3738.68855,1,1,2,1,6,2
2009,3738.68855,1,1,2,1,6,2
2009,3497.52347,1,1,2,1,7,4
2009,3598.3908100000003,2,1,2,1,5,1
2009,2077.75954,2,1,2,1,7,4
2009,3255.75457,2,1,2,1,6,2
2009,5062.77649,1,1,2,1,4,2
2009,2117.20714,2,2,2,2,7,4
2009,2618.42197,2,1,2,1,4,1
2009,2213.46256,1,1,2,1,7,2
2009,4689.5433299999995,1,2,2,2,6,2
2009,4457.10208,1,1,2,1,1,1
2009,3186.53695,1,1,2,1,5,1
2009,3009.16962,2,1,2,1,2,1
2009,2277.95586,2,1,2,1,1,1
2009,3540.23842,1,1,1,4,5,1
2009,4592.90945,1,1,1,4,5,1
2009,4289.4085,2,3,1,4,4,1
2009,3717.64369,1,1,1,4,6,4
2009,2794.81,2,1,1,4,5,1
2009,4705.59893,1,1,2,1,2,1
2009,4008.63076,1,1,2,1,1,1
2009,5894.6207,1,2,2,2,5,2
2009,3126.38702,1,1,2,1,5,1
2009,4390.47556,1,1,2,1,2,1
2009,32390.935,2,1,2,1,6,2
2009,4258.5498,2,1,2,1,2,1
2009,3626.66991,1,2,2,2,6,4
2009,4102.02461,1,1,2,1,5,4
2009,3533.84071,1,1,2,1,6,4
2009,3319.80365,1,1,2,1,6,1
2009,3319.80365,1,1,2,1,6,1
2009,3319.80365,1,1,2,1,6,1
2009,5062.71226,2,1,2,1,3,1
2009,3548.8854,2,2,2,2,7,5
2009,3548.8854,2,2,2,2,7,5
2009,3452.14215,1,1,2,1,8,2
2009,2313.6902,1,1,2,1,1,1
2009,2313.6902,1,1,2,1,1,1
2009,3905.88294,1,1,2,1,2,1
2009,2378.03095,1,1,2,1,6,2
2009,4921.01905,1,1,2,1,2,1
2009,4921.01905,1,1,2,1,2,1
2009,3640.1919700000003,1,1,2,1,4,1
2009,6350.00067,2,2,2,2,3,1
2009,4329.61815,1,2,2,2,7,2
2009,4329.61815,1,2,2,2,7,2
2009,31816.9976,1,1,2,1,4,1
2009,3731.37965,1,1,1,4,1,1
2009,3405.7118299999997,2,3,2,3,1,1
2009,5126.98333,1,1,2,1,4,4
2009,3837.41468,1,1,2,1,6,4
2009,3787.37496,1,2,2,2,6,1
2009,3455.0020600000003,1,1,1,4,5,2
2009,3742.27082,2,3,2,3,6,2
2009,3150.44905,2,1,2,1,7,4
2009,2949.54119,2,1,2,1,7,2
2009,4381.60456,1,1,2,1,4,1
2009,4412.286120000001,1,1,2,1,2,1
2009,5048.75698,2,1,2,1,2,1
2009,3502.97791,2,1,2,1,5,4
2009,3502.97791,2,1,2,1,5,4
2009,5419.30126,2,1,1,4,1,1
2009,5634.74314,2,2,2,2,2,1
2009,5441.56051,1,1,2,1,4,1
2009,2143.3249600000004,2,1,2,1,7,2
2009,3131.34145,1,2,2,2,6,2
2009,3090.01502,2,1,2,1,5,4
2009,2489.4987,2,2,2,2,6,4
2009,3978.5314799999996,1,1,2,1,6,2
2009,3978.5314799999996,1,1,2,1,6,2
2009,3978.5314799999996,1,1,2,1,6,2
2009,3978.5314799999996,1,1,2,1,6,2
2009,3117.42681,2,1,2,1,6,5
2009,3052.69886,2,1,2,1,7,4
2009,1996.8366399999998,2,1,2,1,5,4
2009,5409.85719,2,1,2,1,3,1
2009,3097.53803,2,3,2,3,4,1
2009,3573.36265,1,1,2,1,2,1
2009,51427.0609,2,1,2,1,4,1
2009,3572.34992,2,1,2,1,7,3
2009,3298.49202,2,3,2,3,6,4
2009,3141.56807,2,1,1,4,6,5
2009,1782.71308,2,2,2,2,5,2
2009,6265.3148,2,3,2,3,7,2
2009,6265.3148,2,3,2,3,7,2
2009,3847.51472,1,1,2,1,6,2
2009,3877.57686,1,1,2,1,5,2
2009,2138.7856100000004,2,1,2,1,5,5
2009,2138.7856100000004,2,1,2,1,5,5
2009,3015.28121,2,1,2,1,5,5
2009,1734.3179899999998,2,1,2,1,7,2
2009,1734.3179899999998,2,1,2,1,7,2
2009,1734.3179899999998,2,1,2,1,7,2
2009,1734.3179899999998,2,1,2,1,7,2
2009,5995.05912,1,2,2,2,3,1
2009,2165.88073,2,1,2,1,5,4
2009,3019.84618,2,1,2,1,6,2
2009,2998.0712399999998,1,1,2,1,3,1
2009,3310.49309,1,1,2,1,8,2
2009,2990.7062300000002,1,1,1,4,3,1
2009,4814.63523,1,1,2,1,5,2
2009,3552.0286100000003,2,2,2,2,5,1
2009,3552.0286100000003,2,2,2,2,5,1
2009,3552.0286100000003,2,2,2,2,5,1
2009,3552.0286100000003,2,2,2,2,5,1
2009,3036.02811,2,1,2,1,7,2
2009,2033.2669,2,1,2,1,8,3
2009,2345.62804,2,1,2,1,6,2
2009,3163.98564,1,1,2,1,2,1
2009,3389.99338,1,1,2,1,5,1
2009,3052.86467,2,1,2,1,7,2
2009,4306.9457600000005,2,1,2,1,2,1
2009,2565.06936,1,1,2,1,4,1
2009,3077.5507199999997,2,1,2,1,5,1
2009,5784.2966799999995,2,1,2,1,3,1
2009,3340.47913,2,1,2,1,7,1
2009,2088.90878,2,1,1,4,6,1
2009,1976.96566,2,1,88,1,6,88
2009,2209.32895,1,1,1,4,5,1
2009,3668.82743,1,1,2,1,5,1
2009,3943.7925,1,1,2,1,6,2
2009,5766.57016,1,1,2,1,1,5
2009,3942.36689,1,1,2,1,5,2
2009,3641.27695,2,1,2,1,7,4
2009,5281.0368,1,1,2,1,6,1
2009,6007.993979999999,1,1,1,4,2,2
2009,3561.01399,1,1,1,4,6,4
2009,4758.25911,1,1,2,1,1,1
2009,3414.48776,1,1,2,1,7,2
2009,3967.1640700000003,1,1,2,1,7,2
2009,5528.382070000001,1,1,2,1,2,1
2009,5019.95568,2,1,2,1,2,1
2009,4329.61815,1,2,2,2,7,2
2009,1888.97883,2,1,2,1,7,2
2009,2240.09441,1,1,2,1,7,2
2009,2676.62974,2,1,2,1,2,1
2009,2676.62974,2,1,2,1,2,1
2009,2510.8965399999997,1,1,2,1,5,2
2009,3254.43208,1,1,1,4,5,2
2009,3654.35765,2,1,1,4,2,1
2009,3654.35765,2,1,1,4,2,1
2009,5124.826370000001,1,2,2,2,6,4
2009,3359.3023799999996,1,1,1,4,6,2
2009,2057.4770399999998,2,2,2,2,7,4
2009,3992.76751,2,2,2,2,5,2
2009,4189.84687,2,1,2,1,5,1
2009,4189.84687,2,1,2,1,5,1
2009,4189.84687,2,1,2,1,5,1
2009,3109.8541600000003,1,1,2,1,8,4
2009,3238.87669,2,1,1,4,6,2
2009,3195.9746,2,1,2,1,7,2
2009,6163.76355,2,1,2,1,2,1
2009,3256.76071,1,1,2,1,7,2
2009,4306.75958,2,2,2,2,6,1
2009,4143.76915,1,2,2,2,7,1
2009,4143.76915,1,2,2,2,7,1
2009,4264.192120000001,2,3,2,3,4,2
2009,3446.63785,1,1,1,4,6,1
2009,3382.6209,2,1,1,4,5,2
2009,3093.00749,2,3,1,4,6,2
2009,5931.156529999999,1,2,2,2,3,1
2009,5931.156529999999,1,2,2,2,3,1
2009,3710.8009399999996,2,2,2,2,8,3
2009,4458.27671,2,1,2,1,1,1
2009,2921.9557800000002,1,3,2,3,1,1
2009,2921.9557800000002,1,3,2,3,1,1
2009,2921.9557800000002,1,3,2,3,1,1
2009,5051.06923,2,2,2,2,5,1
2009,2745.2081,2,1,1,4,7,2
2009,5240.5006,1,1,2,1,1,1
2009,3041.29777,2,1,2,1,8,3
2009,3060.70559,2,1,2,1,5,5
2009,3144.29979,2,1,2,1,7,1
2009,2822.5893899999996,2,1,2,1,6,4
2009,3534.88655,1,1,2,1,1,1
2009,5185.1143,1,1,2,1,3,1
2009,4591.54751,1,1,2,1,2,1
2009,4974.93509,1,3,2,3,5,2
2009,3969.2782799999995,2,1,1,4,5,1
2009,6128.59262,1,2,2,2,2,1
2009,3792.33487,1,1,2,1,5,2
2009,2738.4838600000003,2,1,2,1,3,1
2009,1802.0137399999999,2,3,2,3,7,2
2009,7243.62731,2,1,2,1,4,1
2009,2900.57748,1,2,2,2,6,4
2009,3494.9876299999996,1,1,2,1,6,2
2009,3470.5071399999997,1,2,2,2,3,1
2009,2363.91633,2,2,2,2,5,1
2009,2302.5228399999996,1,2,2,2,6,4
2009,13511.089740000001,2,1,2,1,5,1
2009,4029.5849700000003,1,1,2,1,6,1
2009,3853.3748600000004,1,1,2,1,6,4
2009,5414.17403,2,1,2,1,1,1
2009,4594.1015,1,2,2,2,6,4
2009,4594.1015,1,2,2,2,6,4
2009,3663.6522200000004,2,1,2,1,3,1
2009,3663.6522200000004,2,1,2,1,3,1
2009,6199.00517,2,2,2,2,3,2
2009,3166.8987899999997,2,1,1,4,6,2
2009,28785.154019999998,1,1,1,4,3,1
2009,2069.1156,1,2,2,2,6,1
2009,2069.1156,1,2,2,2,6,1
2009,2069.1156,1,2,2,2,6,1
2009,2069.1156,1,2,2,2,6,1
2009,4768.76,2,2,2,2,4,1
2009,3526.62909,1,1,1,4,6,2
2009,3194.60432,1,1,2,1,7,4
2009,2959.41322,1,1,2,1,7,2
2009,3792.14344,2,2,2,2,5,1
2009,3792.14344,2,2,2,2,5,1
2009,3717.1082,1,1,2,1,4,2
2009,3693.10234,1,1,2,1,6,4
2009,1976.21175,2,1,2,1,7,2
2009,3528.5947899999996,1,1,2,1,5,2
2009,37412.4857,1,1,2,1,5,2
2009,3651.31814,2,3,2,3,2,1
2009,3212.48491,1,1,2,1,6,4
2009,3242.51063,2,1,2,1,6,4
2009,3242.51063,2,1,2,1,6,4
2009,3111.79983,2,1,1,4,5,1
2009,3764.56589,1,1,2,1,1,1
2009,3764.56589,1,1,2,1,1,1
2009,2313.0797399999997,1,1,2,1,6,2
2009,3198.74926,2,1,2,1,6,1
2009,3085.9013800000002,1,1,2,1,2,1
2009,30859.0138,1,1,2,1,2,1
2009,3054.3205399999997,2,1,2,1,4,1
2009,2975.60991,2,1,2,1,8,3
2009,2372.77696,2,1,2,1,3,2
2009,2410.01132,1,1,2,1,6,1
2009,3077.65242,2,1,2,1,7,4
2009,3629.3041299999995,2,1,2,1,6,3
2009,3836.8484799999997,1,3,2,3,1,1
2009,3057.0992100000003,1,1,2,1,1,1
2009,3126.01705,2,1,2,1,7,2
2009,6397.078579999999,1,2,2,2,5,1
2009,3416.6903,2,1,2,1,5,88
2009,3416.6903,2,1,2,1,5,88
2009,3416.6903,2,1,2,1,5,88
2009,3416.6903,2,1,2,1,5,88
2009,2907.0145899999998,2,3,2,3,4,1
2009,4062.7452799999996,1,1,1,4,1,1
2009,3650.25867,2,1,2,1,4,2
2009,3650.25867,2,1,2,1,4,2
2009,3650.25867,2,1,2,1,4,2
2009,3650.25867,2,1,2,1,4,2
2009,3605.09655,1,2,2,2,5,1
2009,3402.5698899999998,1,1,2,1,6,4
2009,35070.005,1,1,2,1,6,2
2009,3155.82891,2,1,2,1,7,4
2009,3047.21121,2,1,2,1,7,2
2009,2108.58972,2,1,1,4,5,1
2009,2248.66768,1,1,2,1,5,2
2009,5032.53629,1,1,1,4,5,1
2009,5328.3787,1,1,2,1,4,1
2009,5830.81285,1,1,2,1,5,1
2009,5267.536120000001,1,2,1,4,2,1
2009,4434.20097,2,1,2,1,1,1
2009,5402.89671,1,1,2,1,6,1
2009,3469.1105399999997,2,1,1,4,7,2
2009,3660.8945200000003,2,1,2,1,8,3
2009,3746.85914,1,1,2,1,5,1
2009,5088.55361,1,1,2,1,1,1
2009,3123.99128,2,1,1,4,6,1
2009,3842.19845,1,1,1,4,5,2
2009,1989.4237100000003,2,1,2,1,5,5
2009,2598.15702,1,1,1,4,1,1
2009,2921.3652899999997,1,3,2,3,3,1
2009,2921.3652899999997,1,3,2,3,3,1
2009,2379.9153300000003,1,1,2,1,7,2
2009,3621.4628700000003,1,1,2,1,7,4
2009,20888.2831,2,1,2,1,5,2
2009,5741.20125,1,2,2,2,5,2
2009,3130.2346,1,1,2,1,6,2
2009,2005.09768,1,1,2,1,6,1
2009,2051.98079,2,1,2,1,7,2
2009,4643.78939,1,1,2,1,3,1
2009,5122.7953,1,1,1,4,3,1
2009,2122.08003,2,1,1,4,5,2
2009,3181.35104,2,1,2,1,5,4
2009,4292.67821,1,1,2,1,5,1
2009,2984.4659899999997,1,1,1,4,3,1
2009,3301.61489,2,1,2,1,7,4
2009,3395.14079,2,1,2,1,7,5
2009,6734.20344,1,2,2,2,2,1
2009,4847.95256,2,1,2,1,5,1
2009,4847.95256,2,1,2,1,5,1
2009,4123.237279999999,2,1,2,1,6,5
2009,5102.05881,1,1,2,1,2,1
2009,34779.2538,2,1,2,1,6,5
2009,3077.65242,2,1,2,1,7,2
2009,3432.281,1,1,2,1,6,2
2009,3939.2367200000003,1,1,2,1,1,1
2009,5374.54853,2,1,1,4,4,1
2009,5042.43784,1,1,1,4,2,1
2009,3818.3149700000004,1,1,1,4,1,1
2009,3427.9564200000004,2,1,1,4,5,2
2009,4992.2237,2,2,2,2,5,1
2009,4768.81719,1,1,2,1,2,1
2009,2733.9556,1,1,2,1,2,1
2009,3306.65753,1,1,2,1,7,4
2009,32392.9037,2,1,2,1,6,4
2009,3197.88958,1,1,2,1,7,5
2009,32614.71542,2,2,2,2,1,1
2009,2642.3708899999997,1,1,2,1,2,1
2009,2744.1057100000003,2,1,2,1,5,1
2009,3805.6065,1,1,2,1,6,4
2009,3085.29347,2,1,1,4,5,2
2009,2015.8786899999998,2,1,1,4,5,5
2009,3637.5902200000005,1,1,2,1,6,2
2009,3646.4120399999997,2,3,1,4,5,4
2009,4038.5952899999997,1,1,2,1,6,1
2009,2199.20627,2,1,1,4,6,2
2009,3509.34232,2,1,2,1,1,1
2009,2932.2446800000002,1,2,2,2,1,1
2009,4310.64972,1,1,1,4,6,2
2009,2398.5668600000004,2,1,2,1,5,1
2009,3812.5370799999996,2,1,1,4,4,2
2009,35538.0005,2,1,2,1,1,1
2009,2122.50586,2,1,2,1,6,2
2009,3873.3306,1,1,2,1,5,2
2009,2115.47848,2,1,2,1,6,2
2009,3344.70681,1,1,2,1,7,2
2009,3741.9184200000004,1,1,2,1,5,5
2009,6153.06267,1,1,1,4,3,1
2009,3677.96981,1,1,1,4,6,2
2009,3843.35394,2,1,1,4,8,3
2009,3843.35394,2,1,1,4,8,3
2009,3593.2624299999998,1,1,2,1,7,1
2009,6024.90084,2,1,2,1,4,1
2009,3929.38437,2,1,2,1,6,1
2009,5029.05264,2,3,2,3,3,1
2009,3231.0537600000002,2,1,2,1,8,4
2009,4501.2731,1,2,2,2,3,2
2009,4326.38303,1,2,1,4,6,2
2009,3455.68763,1,1,2,1,7,4
2009,2075.30962,2,1,2,1,6,1
2009,4681.9110200000005,1,1,2,1,4,1
2009,2834.3047300000003,2,1,2,1,5,2
2009,2892.59386,2,1,2,1,7,2
2009,2892.59386,2,1,2,1,7,2
2009,2892.59386,2,1,2,1,7,2
2009,2892.59386,2,1,2,1,7,2
2009,3039.98805,1,1,2,1,6,2
2009,2978.45348,2,1,2,1,7,2
2009,3489.4717600000004,2,1,2,1,1,1
2009,3122.51079,1,1,1,4,6,4
2009,3052.49033,1,1,2,1,7,2
2009,5329.30758,1,1,2,1,4,1
2009,2391.71978,1,2,2,2,5,1
2009,3054.3169,2,1,2,1,1,1
2009,2209.41858,2,1,1,4,6,2
2009,2209.41858,2,1,1,4,6,2
2009,3213.5412100000003,1,1,2,1,7,2
2009,2514.09915,2,1,1,4,4,1
2009,2514.09915,2,1,1,4,4,1
2009,2290.71286,1,3,2,3,5,1
2009,3573.15041,2,1,1,4,1,1
2009,2083.2169,2,1,2,1,7,2
2009,4545.24495,1,2,2,2,7,4
2009,3717.388,1,1,2,1,6,4
2009,3717.388,1,1,2,1,6,4
2009,3717.388,1,1,2,1,6,4
2009,4381.154039999999,2,1,2,1,6,5
